🔗 Audit address,🧍 Original author,📋 Audit topic,⭐️ Audit value,📝 Audit notes,🗂️ Category,🎬 Action,🧑‍💻 Editor,📄 New format,✅ Done,Recommendations
https://accessibility.civicactions.com/about/people/mike-gifford,Mike,Contributors,1 High,High number of impressions,About,Update in place now,Mike Gifford,Person,FALSE,"High number of impressions. Does this need any updates, Mike?"
https://accessibility.civicactions.com/guide/champions-program,Mike,Champions,1 High,Lot of info on this page. Consider breaking up.,Champion Accessibility,Update in place now,Jacqueline Quintanilla,Detail,TRUE,Apply detail page format. Review for readability. Reframe as “CivicActions’ Accessibility Champions program.”
https://accessibility.civicactions.com/guide/design,Mike,Tools,1 High,,Accessibility Guides,Update in place now,Adrian Cooke,Topic,FALSE,"Convert to topic page. Write intro copy. Create info hierarchy on page. Emphasize USWDS. Offload link lists to Github, etc. if possible."
https://accessibility.civicactions.com/guide/history,"Mike, Jack",General accessibility,1 High,High click-through rate,Accessibility Guides,Update in place now,Laura Flannery,Detail,FALSE,"High value page, high click-through rate. Last updated 2021. Update to include WCAG 2.2, M-23-22 (briefly), and M-24-08."
https://accessibility.civicactions.com/guide/onboarding-staff,Mike,Methods,1 High,Lot of info on this page. Consider breaking up.,Champion Accessibility,Update in place now,Jordan Wood,Guide,TRUE,"This one should probably be turned into a how-to for orgs generally, with any remainder put into the Handbook or CA Confluence."
https://accessibility.civicactions.com/guide/plain-language,Nira,Content quality,1 High,Lot of info on this page. Consider breaking up.,Accessibility Guides,Update in place now,Jordan Wood,Guide,TRUE,Apply guide format. Suggest subdividing page into starting points and further reading. Focus should be on the former. 
https://accessibility.civicactions.com/guide/tools,"Mike, Jack",Tools,1 High,Lot of info on this page. Consider breaking up.,Accessibility Guides,Update in place now,Jordan Wood,Detail,TRUE,"For each subhead, describe what we look for in a tool in that category, then list the three best ones. Additional options can be below that."
https://accessibility.civicactions.com/guide/training,"Luke, Jack",Training,1 High,,Champion Accessibility,Update in place now,Jordan Wood,Topic,TRUE,Expand into topic page for training and certification. Bigger lift but will be a good landing page for related items.
https://accessibility.civicactions.com/playbook/automated-testing,"Mike, Daniel",Automated testing,1 High,,Accessibility Guides,Update in place now,Daniel Mundra,Guide,TRUE,This is close. Recommend applying guide format that answers what is automated testing and how to set it up. (see Plain Language for a good starting point on the format.)
https://accessibility.civicactions.com/playbook/roles,Mike,Methods,1 High,Lot of info on this page. Consider breaking up.,Champion Accessibility,Update in place now,Jordan Wood,Topic,TRUE,Role-related content goes in Champion. Expand into topic page for the roles detail pages. Reduce links to most-recommended and delete the rest or move to internal page. List of roles can be found on this page. The approach of this W3C page may be a helpful model.
https://accessibility.civicactions.com/about/contact,Jennifer,General accessibility,2 Normal,,About,Update in place now,Jordan Wood,Transaction,TRUE,Form field Subject seems to have the wrong label. Is it subject or body? All links should be checked to make sure they still work and are relevant. Do relevant links need to be added?
https://accessibility.civicactions.com/guide/documents,"Jennifer, Mike",General accessibility,2 Normal,,Accessibility Guides,Update in place now,Adrian Cooke,Topic,FALSE,Add explanatory text. Develop the CivicActions Accessibility viewpoint on documents. Reduce the number of links if not all of them are necessary. Highlight preferred resources for documents. Check remaining links to make sure they work and are still leading to relevant content.
https://accessibility.civicactions.com/guide/resources,"Jack, Mike",Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"A page like this can be made more relevant by reframing, e.g. “If you only have five minutes and are interested in X take a look at Y” for each section. All links should be checked to make sure they still work and are relevant."
https://accessibility.civicactions.com/guide/semantic-html,Jennifer,General accessibility,2 Normal,Redirects,Accessibility Guides,Update in place now,Laura Flannery,Detail,TRUE,"Suggest reframing this page as a way to prevent accessibility issues or cut down on them out of the gate. Talk about native element semantics and how they map to browser accessibility APIs, doing a lot of the hard work for you. Mention first rule of ARIA. Mention HTML Validator as first line of defence against accessibility errors. "
https://accessibility.civicactions.com/guide/social-media,"Mike, Luke",Content quality,2 Normal,,Accessibility Guides,Update in place now,Jordan Wood,Detail,TRUE,"Overall this page is good, but may need to be restrucured slightly when reviewed. Alexa Heinrich has done a lot with the Accessible Social project which is worth emphasizing. It’s a very good starting point and is very experiment-driven. "
https://accessibility.civicactions.com/playbook/AT,"Mike, Daniel",Tools,2 Normal,,Accessibility Guides,Update in place now,Laura Flannery,Detail,TRUE,Consider whether this page should be converted into a how-to guide. Say more about VoiceOver: pragmatic since a lot of designers and developers have easy access to it. Add headers to better structure the content. 
https://accessibility.civicactions.com/playbook/authoring,"Mike, Daniel",Tools,2 Normal,Questions/headers could be emphasized more,Accessibility Guides,Update in place now,Jenna Waszak,Detail,FALSE,Consider whether this page should be converted to a how-to guide or remain a detail page. Add headers to better structure the content. Make Drupal-focused?
https://accessibility.civicactions.com/playbook/checklists,Mike,Manual testing,2 Normal,,Accessibility Guides,Update in place now,Laura Flannery,Detail,TRUE,Reduce the number of links if not all of them are necessary.
https://accessibility.civicactions.com/playbook/community,"Mike, Daniel",Champions,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,This works as a detail page with Recommendations instead of a Checklist since there are lots of directions people could take. Would recommend linking to the Social Media page because Accessible Social is an example of a great community of practitioners.
https://accessibility.civicactions.com/playbook/distributed-teams,Daniel,Champions,2 Normal,,Accessibility Guides,Update in place now,Jenna Waszak,Detail,FALSE,It might make this page more authoritative to mention that care still needs to be taken to ensure digital workplaces are inclusive. Resources section: Reduce the number of links if necessary and change hyperlinks to desciptive text. 
https://accessibility.civicactions.com/playbook/follow-global-initiatives,"Luke, Daniel",Champions,2 Normal,,Accessibility Guides,Update in place now,,Detail,FALSE,"Consider whether this page be combined with Community. If it remains separate, it should have reciprocal links to Community and it should identify more examples."
https://accessibility.civicactions.com/playbook/manual-testing,"Mike, Daniel",Manual testing,2 Normal,,Accessibility Guides,Update in place now,Laura Flannery,Guide,TRUE,Structure this in a guide format by explaining the steps needed to do this.
https://accessibility.civicactions.com/playbook/pdf,"Jennifer, Mike",Content quality,2 Normal,Links to external article,Accessibility Guides,Update in place now,Adrian Cooke,Detail,FALSE,"If we are taking a stand against PDF, we should mention that on our Documents page. I think we need to combine all three and mention pros and cons."
https://accessibility.civicactions.com/playbook/personalization,Daniel,Content quality,2 Normal,,Accessibility Guides,Update in place now,,Guide,FALSE,Structure this in a guide format by explaining the steps needed to do this. The Checklist section could be expanded on.
https://accessibility.civicactions.com/playbook/practice,Mike,Champions,2 Normal,Red Meta Desc cell indicates duplicate or missing,Champion Accessibility,Update in place now,,Detail,FALSE,Re-title as build a gov comm of practice. Revise rest of page with that in mind.
https://accessibility.civicactions.com/playbook/pwd,Mike,Methods,2 Normal,,Accessibility Guides,Update in place now,Laura Flannery,Detail,FALSE,Consider combining the language and identity page into this one. Add headers to better structure the content. 
https://accessibility.civicactions.com/playbook/statements,"Mike, Daniel",General accessibility,2 Normal,Links to internal page.,Accessibility Guides,Update in place now,Laura Flannery,Guide,TRUE,Structure this in a guide format by explaining the steps needed to do this. Link to our own? Optional: Reduce the number of links if not all of them are necessary.
https://accessibility.civicactions.com/roles/developer,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/roles/executive,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/roles/operations,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/roles/procurement,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/roles/product-manager,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/roles/project-manager,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/roles/ux-designer,Luke,Training,2 Normal,,Champion Accessibility,Update in place now,Jordan Wood,Detail,TRUE,"Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page."
https://accessibility.civicactions.com/VPAT/,Mike,Tools,2 Normal,,Accessibility Guides,Update in place now,Jordan Wood,Detail,TRUE,Remove duplicate H1 header and add more explanation of VPAT. Optional: Reduce the number of links if not all of them are necessary. 
https://accessibility.civicactions.com/about/people/allison-carroll,Daniel,Contributors,3 Low,Low number of views. Heading levels don't seem to be correct.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/daniel-mundra,Daniel,Contributors,3 Low,Structured like people page. Probably shouldn't be.,About,Delete and abandon now,Daniel Mundra,Person,TRUE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/jack-haas,"Luke, Jennifer",Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,Jack Haas,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/jennifer-houde,Daniel,Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/jonathan-bourland,"Daniel, Jennifer",Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/luke-fretwell,"Luke, Daniel",Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/michelle-kang,Daniel,Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/nira-datta,Daniel,Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/about/people/vanessa-luxen,Daniel,Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,Person,FALSE,Add more to the About section and (optionally) how to connect. This should look more like Mike's page. 
https://accessibility.civicactions.com/heart,Mike,Methods,3 Low,Could be combined with another page.,Champion Accessibility,Update in place now,,Detail,FALSE,Check that content is current and links work. 
https://accessibility.civicactions.com/services,Mike,Champions,3 Low,Could be combined with another page.,About,Update in place now,,Detail,FALSE,Check that content is current and links work. 
https://accessibility.civicactions.com/VPAT/Drupal9AccessibilityConformanceReport.html,,Drupal,2 Normal,,Accessibility Guides,Update in place now,,,FALSE,"I'm unsure where this should go. Should it have been a post? It says 2021, is it still relevant?"
https://accessibility.civicactions.com/guide/introduction,Jack,General accessibility,2 Normal,,Accessibility Guides,Update after restructure,,,FALSE,
https://accessibility.civicactions.com/news/,Luke,,2 Normal,Long list.,About,Update after restructure,,,FALSE,Is there a way to improve the UI?
https://accessibility.civicactions.com/roles/,Luke,,2 Normal,,Champion Accessibility,Update after restructure,,,FALSE,
https://accessibility.civicactions.com/topics/,"Daniel, Jennifer",,3 Low,Could be combined with another page.,Accessibility Guides,Update after restructure,,,FALSE,
https://accessibility.civicactions.com/,,,1 High,Homepage,Uncategorized,Update after restructure,,,FALSE,
https://accessibility.civicactions.com/guide/,,,1 High,,Accessibility Guides,Update after restructure,,,FALSE,Change to “CivicActions Accessibility Guides” with updated browse UI.
https://accessibility.civicactions.com/playbook/,,,1 High,,Accessibility Guides,Update after restructure,,,FALSE,
https://accessibility.civicactions.com/posts/automated-accessibility-testing-leveraging-github-actions-and-pa11y-ci-with-axe,,Automated testing,1 High,Consider emphasizing,Accessibility Guides,Update after restructure,,,FALSE,Convert to guide
https://accessibility.civicactions.com/search,,,1 High,,Uncategorized,Update after restructure,,,FALSE,
https://accessibility.civicactions.com/posts/helping-disabled-veterans-check-in-designing-an-accessibility-map,,Methods,1 High,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/4-ways-to-improve-government-accessibility-through-open-source,Mike,Champions,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/at-banter-podcast,Mike,Automated testing,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/CivicActions-Accessibility-Pledge,Mike,Champions,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/CivicActions-Creates-Open-Product-Accessibility-Template,Mike,Champions,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/daniel-mundra-diving-into-drupal,Daniel,Drupal,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/five-reasons-to-get-excited-about-governmentwide-section-508-assessment-criteria,Mike,Champions,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/fix-accessibility-bugs,Mike,Champions,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/FOSDEM-ccessibility-OpenSource,Mike,Open source,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/gcn-accessibility-compliance-as-code,Luke,Champions,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/government-accessibility-and-the-cms-problem,CivicActions,Drupal,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/governments-accessibility-opensource,Mike,Open source,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/govtech-how-will-biden-transform-government-website-accessibility,Luke,Champions,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/heart-accessibility,Mike,Champions,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/how-omb-can-improve-gov-accessibility,Mike,Champions,2 Normal,Links to internal page.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/how-we-scale-inclusive-website-content-with-automated-testing-and-open-source-tools,Daniel,Automated testing,2 Normal,Only linked in sitemap.xml - link from content or remove,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/launching-a-community-of-practice-for-accessibility-in-government-services,Nira,Champions,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/opensource-automated-accessibility-testing,Daniel,Automated testing,2 Normal,Low number of views. Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/social-media-accessibility-guide,Luke,Content quality,2 Normal,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/Talking-Drupal-Podcast,Daniel,Champions,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/Talking-Drupal-Podcast-382,Daniel,Champions,2 Normal,Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/guide/glossary,Jack,General accessibility,3 Low,No details on OKRs,Accessibility Guides,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/gsa-machine-readable-acr,,Champions,3 Low,Low number of views.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/hello-world,,Champions,3 Low,No content,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/how-drupal-helps-us-bake-accessibility-into-every-project,,Drupal,3 Low,Low number of views. Could be combined with contact page.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/improve-government-accessibility-through-open-source,,Open source,3 Low,Low number of views.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/mvp-guide,,Champions,3 Low,Low number of views.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/mvp-playbook,,Champions,3 Low,Low number of views. Links to external article,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/plain-language-accessibility-guide,,Content quality,3 Low,Redirects,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/pre-GAAD-Authoring-Tools-Built-in-Accessibility,,Champions,3 Low,Low number of views. Links to internal page.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/qa-with-mike-gifford-accessibility-in-civic-tech,,Champions,3 Low,,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/scanning-over-two-million-gov-pages,,Champions,3 Low,Low number of views.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/smashingmag-baking-in-accessibility-testing,,Automated testing,3 Low,Points to a new page,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/website-analytics,,Open source,3 Low,Low number of views.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/posts/whitehouse.gov-beginning-an-accessibility-journey,,Champions,3 Low,Low number of views.,About,No changes its perfect,,,FALSE,
https://accessibility.civicactions.com/roles/content-designer,Luke,Training,2 Normal,,Champion Accessibility,Delete and redirect now,Jordan Wood,Detail,TRUE,"Combine with ux designer page to create one ""Designer"" page that descibes visual, content, and research design."
https://accessibility.civicactions.com/personas/engineer-emery,,Personas,2 Normal,,Accessibility Guides,Delete and redirect now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/analytics,,Open source,2 Normal,,About,Delete and abandon now,,,FALSE,Do we want to keep this?
https://accessibility.civicactions.com/conduct,,Contributors,2 Normal,Low number of views.,About,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/personas/accessibility-avery,,Personas,2 Normal,,Accessibility Guides,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/personas/designer-darcy,,Personas,2 Normal,Links to external article,Accessibility Guides,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/personas/procurement-parker,,Personas,2 Normal,,Accessibility Guides,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/personas/qa-quincy,,Personas,2 Normal,,Accessibility Guides,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/personas/remote-raz,,Personas,2 Normal,,Accessibility Guides,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/playbook/ai-and-ia,,Tools,2 Normal,,Accessibility Guides,Delete and abandon now,,,FALSE,Is this still relevant?
https://accessibility.civicactions.com/posts/,,,2 Normal,Long list.,About,Delete and abandon now,,,FALSE,Is there a way to improve the UI?
https://accessibility.civicactions.com/projects/,,,2 Normal,,Accessibility Guides,Delete and abandon now,,,FALSE,"The info this points to could be combined with other pages, which would make this irrelevant. "
https://accessibility.civicactions.com/VPAT/Drupal9AccessibilityConformanceReport-December2020.html,,Drupal,2 Normal,Lot of info on this page. Consider breaking up.,Accessibility Guides,Delete and abandon now,,,FALSE,"I'm unsure where this should go. Should it have been a post? It says 2020, is it still relevant?"
https://accessibility.civicactions.com/about/people/civicactions,,Contributors,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,,FALSE,Do we need this page?
https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--all.pdf,,Tools,3 Low,Only linked in sitemap.xml - link from content or remove,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--top-hits.pdf,,Tools,3 Low,Only linked in sitemap.xml - link from content or remove,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/assets/personas/pdfs/avery.pdf,,Personas,3 Low,404 error,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/assets/personas/pdfs/darcy.pdf,,Personas,3 Low,Only linked in sitemap.xml - link from content or remove,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/assets/personas/pdfs/parker.pdf,,Personas,3 Low,Only linked in sitemap.xml - link from content or remove,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/assets/personas/pdfs/quincy.pdf,,Personas,3 Low,Only linked in sitemap.xml - link from content or remove,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/assets/personas/pdfs/raz.pdf,,Personas,3 Low,Only linked in sitemap.xml - link from content or remove,Uncategorized,Delete and abandon now,,,FALSE,Remove PDF from site
https://accessibility.civicactions.com/calendar,,General accessibility,3 Low,Low number of views. Links to external article,About,Delete and abandon now,,,FALSE,This should move to an internal site.
https://accessibility.civicactions.com/docs/,,,3 Low,No content,Uncategorized,Delete and abandon now,,,FALSE,
https://accessibility.civicactions.com/documentation,,Methods,3 Low,Low number of views.,About,Delete and abandon now,,,FALSE,This should be moved to an internal site.
https://accessibility.civicactions.com/okrs,,General accessibility,3 Low,Low click-through rate. Could have more info.,About,Delete and abandon now,,,FALSE,This should be moved to an internal site.
https://accessibility.civicactions.com/Onboarding.html,,Methods,3 Low,Low click-through rate. Could be removed.,Uncategorized,Delete and abandon now,,,FALSE,
https://accessibility.civicactions.com/personas/,,Personas,3 Low,Low number of views. Links to external article,Accessibility Guides,Delete and abandon now,,,FALSE,Do we still want to use the personas?
https://accessibility.civicactions.com/topics/disability-type,,Training,3 Low,No content,Uncategorized,Delete and abandon now,,,FALSE,
https://accessibility.civicactions.com/topics/process-policies,,Training,3 Low,No content,Uncategorized,Delete and abandon now,,,FALSE,
https://accessibility.civicactions.com/topics/roles,,Training,3 Low,One link on page. ,Accessibility Guides,Delete and abandon now,,,FALSE,No content on this page.
https://accessibility.civicactions.com/topics/testing,,Training,3 Low,Could be combined with another page.,Accessibility Guides,Delete and abandon now,,,FALSE,
https://accessibility.civicactions.com/topics/tools,,Training,3 Low,Could be combined with another page.,Accessibility Guides,Delete and abandon now,,,FALSE,We may no longer need this page if navigation changes. 
https://accessibility.civicactions.com/playbook/training,"Mike, Daniel",Training,2 Normal,,Accessibility Guides,Delete and abandon later,,Guide,FALSE,Structure this in a guide format by explaining the steps needed to do this. Optional: Reduce the number of links if not all of them are necessary.
https://accessibility.civicactions.com/projects,,,2 Normal,,Accessibility Guides,Delete and abandon later,,,FALSE,"The info this points to could be combined with other pages, which would make this irrelevant. "
https://accessibility.civicactions.com/guide/identity-language,"Jack, Mike",General accessibility,2 Normal,Links to external article,Champion Accessibility,Combine with existing now,Laura Flannery,Detail,FALSE,"Consider combining with PWD page. As-is, page would be stronger if it had some specific recommendations. Questions could be included in a “key questions” section. This relates to how you build a culture of inclusion—suggest moving to Champion Accessibility section. All links should be checked to make sure they still work and are relevant."
https://accessibility.civicactions.com/playbook/documents,"Jennifer, Mike",Content quality,2 Normal,,Accessibility Guides,Combine with existing now,Adrian Cooke,Guide,FALSE,This page needs to be combined with https://accessibility.civicactions.com/guide/documents
https://accessibility.civicactions.com/help,Luke,Content quality,3 Low,Low number of views. Links to internal page.,About,Combine with existing now,,,FALSE,
https://accessibility.civicactions.com/about/,,Champions,2 Normal,Links to external article,About,Combine with existing now,,,FALSE,Do we need one about page that includes this info?
https://accessibility.civicactions.com/about/people/,,,2 Normal,,About,Combine with existing now,,,FALSE,Should we only have one link to the people page?
https://accessibility.civicactions.com/accessibility,,General accessibility,2 Normal,Links to external article,About,Combine with existing now,,,FALSE,Do we need one about page that includes this info?
https://accessibility.civicactions.com/agile,,Methods,2 Normal,Could this be combined with another page?,About,Combine with existing now,,,FALSE,Do we need one about page that includes this info?
https://accessibility.civicactions.com/guide/organizations,,General accessibility,2 Normal,,Champion Accessibility,Combine with existing now,,,FALSE,
https://accessibility.civicactions.com/open,,Open source,2 Normal,,About,Combine with existing now,,,FALSE,Do we need one about page that includes this info?
https://accessibility.civicactions.com/people,,,2 Normal,,About,Combine with existing now,,,FALSE,Should we only have one link to the people page?
https://accessibility.civicactions.com/about/join,,Contributors,3 Low,Low number of views. Links to internal page.,About,Combine with existing now,,,FALSE,Remove CA info to internal site. Other info can be combined with a different page.
https://accessibility.civicactions.com/colophon,,General accessibility,3 Low,Low number of views.,About,Combine with existing now,,,FALSE,Combine into a page about the site. 
https://accessibility.civicactions.com/guide/events,,Champions,3 Low,Low number of views.,Champion Accessibility,Combine with existing now,,,FALSE,
https://accessibility.civicactions.com/join,,Champions,3 Low,Low number of views. Links to external article,About,Combine with existing now,,,FALSE,Remove CA info to internal site. Other info can be combined with a different page.
https://accessibility.civicactions.com/license,,General accessibility,3 Low,Possibly outdated. Could be removed.,About,Combine with existing now,,,FALSE,
https://accessibility.civicactions.com/projects/drupal,,Tools,3 Low,Low number of views.,Accessibility Guides,Combine with existing now,,,FALSE,This link could go on a different page.
https://accessibility.civicactions.com/projects/uswds,,Tools,3 Low,Internal-only and outdated?,Accessibility Guides,Combine with existing now,,,FALSE,This link could go on a different page.
https://accessibility.civicactions.com/projects/uswds-color,,Tools,3 Low,Low number of views. Heading repeats twice,Accessibility Guides,Combine with existing now,,,FALSE,This link could go on a different page.
https://accessibility.civicactions.com/topics/design,,Training,3 Low,Could be combined with another page.,Accessibility Guides,Combine with existing now,,,FALSE,This link could go on a different page.
https://accessibility.civicactions.com/ACR/,,,,,,,,,,
https://accessibility.civicactions.com/ACR/Drupal9AccessibilityConformanceReport-December2020.html,,,,,,,,,,
https://accessibility.civicactions.com/ACR/Drupal9AccessibilityConformanceReport.html,,,,,,,,,,
https://accessibility.civicactions.com/guide/defect-priority,,,,,,,,,,
https://accessibility.civicactions.com/posts/delivering-digital-first-turning-21st-century-idea-into-action,,,,,,,,,,
https://accessibility.civicactions.com/posts/how-we-helped-a-government-website-achieve-zero-accessibility-errors,,,,,,,,,,
https://accessibility.civicactions.com/posts/measuring-the-impact-of-manual-accessibility-testing,,,,,,,,,,
https://accessibility.civicactions.com/posts/prioritizing-accessibility-bugs-for-maximum-impact,,,,,,,,,,
https://accessibility.civicactions.com/roles/designer,,,,,,,,,,
https://accessibility.civicactions.com/SECURITY.html,,,,,,,,,,